location_name,forecast_datetime,cached_at,temperature,max_temperature,min_temperature,weather_condition,weather_description,precipitation,humidity,wind_speed,metadata
神戸,2025-06-14T05:00:00+09:00,2025-06-13T08:22:31.040206,22.0,,,rain,雨,1.0,87.0,2.0,"{'weather_code': '300', 'wind_direction': 'east', 'wind_direction_degrees': 90, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
神戸,2025-06-14T05:00:00+09:00,2025-06-13T09:36:27.465801+09:00,22.0,,,rain,雨,1.0,87.0,2.0,"{'weather_code': '300', 'wind_direction': 'east', 'wind_direction_degrees': 90, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
神戸,2025-06-14T06:00:00+09:00,2025-06-13T11:01:54.966825+09:00,22.0,,,rain,雨,1.0,87.0,2.0,"{'weather_code': '300', 'wind_direction': 'east', 'wind_direction_degrees': 90, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
神戸,2025-06-14T12:00:00+09:00,2025-06-13T13:41:22.914627+09:00,23.0,,,rain,雨,2.0,90.0,2.0,"{'weather_code': '300', 'wind_direction': 'southeast', 'wind_direction_degrees': 135, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
神戸,2025-06-15T06:00:00+09:00,2025-06-14T17:19:13.162291+09:00,24.0,,,rain,雨,1.0,99.0,2.0,"{'weather_code': '300', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
神戸,2025-06-14T17:00:00+09:00,2025-06-14T17:19:13.166846+09:00,23.8,,,rain,雨,3.0,95.0,2.0,"{'weather_code': '300', 'wind_direction': 'northeast', 'wind_direction_degrees': 45, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
神戸,2025-06-14T18:00:00+09:00,2025-06-14T17:19:13.168797+09:00,24.0,,,rain,雨,4.0,97.0,0.0,"{'weather_code': '300', 'wind_direction': 'southeast', 'wind_direction_degrees': 135, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
神戸,2025-06-14T19:00:00+09:00,2025-06-14T17:19:13.170695+09:00,23.0,,,rain,雨,8.0,97.0,1.0,"{'weather_code': '300', 'wind_direction': 'west', 'wind_direction_degrees': 270, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
神戸,2025-06-14T20:00:00+09:00,2025-06-14T17:19:13.172509+09:00,23.0,,,rain,雨,3.0,97.0,1.0,"{'weather_code': '300', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
神戸,2025-06-14T21:00:00+09:00,2025-06-14T17:19:13.174685+09:00,24.0,,,rain,雨,2.0,97.0,5.0,"{'weather_code': '300', 'wind_direction': 'northwest', 'wind_direction_degrees': 315, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
神戸,2025-06-14T22:00:00+09:00,2025-06-14T17:19:13.177095+09:00,24.0,,,rain,雨,2.0,97.0,5.0,"{'weather_code': '300', 'wind_direction': 'northwest', 'wind_direction_degrees': 315, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
神戸,2025-06-14T23:00:00+09:00,2025-06-14T17:19:13.181586+09:00,24.0,,,rain,雨,2.0,97.0,5.0,"{'weather_code': '300', 'wind_direction': 'northwest', 'wind_direction_degrees': 315, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
神戸,2025-06-15T00:00:00+09:00,2025-06-14T17:19:13.185151+09:00,24.0,,,rain,雨,1.0,98.0,4.0,"{'weather_code': '300', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
神戸,2025-06-15T01:00:00+09:00,2025-06-14T17:19:13.187158+09:00,24.0,,,rain,雨,1.0,98.0,3.0,"{'weather_code': '300', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
神戸,2025-06-15T02:00:00+09:00,2025-06-14T17:19:13.188885+09:00,24.0,,,rain,雨,1.0,98.0,2.0,"{'weather_code': '300', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
神戸,2025-06-15T03:00:00+09:00,2025-06-14T17:19:13.190937+09:00,24.0,,,rain,雨,1.0,98.0,2.0,"{'weather_code': '300', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
神戸,2025-06-15T04:00:00+09:00,2025-06-14T17:19:13.193485+09:00,24.0,,,rain,雨,1.0,99.0,2.0,"{'weather_code': '300', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
神戸,2025-06-15T05:00:00+09:00,2025-06-14T17:19:13.195597+09:00,24.0,,,rain,雨,1.0,99.0,2.0,"{'weather_code': '300', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
神戸,2025-06-15T06:00:00+09:00,2025-06-14T17:19:13.197485+09:00,24.0,,,rain,雨,1.0,99.0,2.0,"{'weather_code': '300', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
神戸,2025-06-15T07:00:00+09:00,2025-06-14T17:19:13.201038+09:00,24.0,,,rain,雨,1.0,98.0,2.0,"{'weather_code': '300', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
神戸,2025-06-15T08:00:00+09:00,2025-06-14T17:19:13.203991+09:00,24.0,,,cloudy,くもり,0.0,97.0,3.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
神戸,2025-06-15T09:00:00+09:00,2025-06-14T17:19:13.207470+09:00,24.0,,,cloudy,くもり,0.0,94.0,4.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
神戸,2025-06-15T10:00:00+09:00,2025-06-14T17:19:13.210157+09:00,25.0,,,cloudy,くもり,0.0,92.0,4.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
神戸,2025-06-15T11:00:00+09:00,2025-06-14T17:19:13.221460+09:00,26.0,,,cloudy,くもり,0.0,88.0,5.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
神戸,2025-06-15T12:00:00+09:00,2025-06-14T17:19:13.469841+09:00,27.0,,,cloudy,くもり,0.0,84.0,5.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
神戸,2025-06-15T13:00:00+09:00,2025-06-14T17:19:13.478167+09:00,28.0,,,cloudy,くもり,0.0,79.0,5.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
神戸,2025-06-15T14:00:00+09:00,2025-06-14T17:19:13.482867+09:00,29.0,,,cloudy,くもり,0.0,77.0,5.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
神戸,2025-06-15T15:00:00+09:00,2025-06-14T17:19:13.487595+09:00,29.0,,,cloudy,くもり,0.0,76.0,4.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
神戸,2025-06-15T16:00:00+09:00,2025-06-14T17:19:13.490722+09:00,29.0,,,cloudy,くもり,0.0,76.0,4.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
神戸,2025-06-15T17:00:00+09:00,2025-06-14T17:19:13.494494+09:00,28.0,,,cloudy,くもり,0.0,78.0,3.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
神戸,2025-06-15T18:00:00+09:00,2025-06-14T17:19:13.500543+09:00,28.0,,,cloudy,くもり,0.0,80.0,3.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
神戸,2025-06-15T19:00:00+09:00,2025-06-14T17:19:13.504264+09:00,27.0,,,cloudy,くもり,0.0,83.0,2.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
神戸,2025-06-15T20:00:00+09:00,2025-06-14T17:19:13.507569+09:00,26.0,,,cloudy,くもり,0.0,85.0,2.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
神戸,2025-06-15T21:00:00+09:00,2025-06-14T17:19:13.511292+09:00,26.0,,,cloudy,くもり,0.0,87.0,1.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
神戸,2025-06-15T22:00:00+09:00,2025-06-14T17:19:13.514902+09:00,26.0,,,cloudy,くもり,0.0,89.0,1.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
神戸,2025-06-15T23:00:00+09:00,2025-06-14T17:19:13.518390+09:00,25.0,,,cloudy,くもり,0.0,91.0,2.0,"{'weather_code': '200', 'wind_direction': 'northeast', 'wind_direction_degrees': 45, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
